,Unnamed: 0,Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Stock
1709,202,2017-03-13,170.93,173.3185,170.93,171.22,23879.0,0.0,1.0,170.35861338441998,172.7391290813,170.35861338441998,170.64764396933998,23879.0,COKE
2328,67,2017-03-13,46.1,47.0,46.1,46.57,4702990.0,0.0,1.0,46.1,47.0,46.1,46.57,4702990.0,YHOO
3081,201,2017-03-14,863.75,867.58,860.13,865.91,1061692.0,0.0,1.0,863.75,867.58,860.13,865.91,1061692.0,GOOGL
200,200,2017-03-14,139.3,139.65,138.84,138.99,15309065.0,0.0,1.0,138.17165022091,138.51881517121,137.71537628622,137.86416126493,15309065.0,AAPL
2327,66,2017-03-14,46.41,46.755,46.19,46.37,3800294.0,0.0,1.0,46.41,46.755,46.19,46.37,3800294.0,YHOO
1708,201,2017-03-14,179.49,188.39,178.5,186.5,256007.0,0.0,1.0,178.88999892569998,187.76024791137,177.90330830819,185.8765658234,256007.0,COKE
954,201,2017-03-14,246.11,258.12,246.02,258.0,7598446.0,0.0,1.0,246.11,258.12,246.02,258.0,7598446.0,TSLA
1707,200,2017-03-15,185.62,191.6,183.19,189.04,929451.0,0.0,1.0,184.99950749673,190.95951748935,182.57763052648,188.40807508448003,929451.0,COKE
3080,200,2017-03-15,867.94,869.88,861.295,868.39,1332885.0,0.0,1.0,867.94,869.88,861.295,868.39,1332885.0,GOOGL
199,199,2017-03-15,139.41,140.7501,139.025,140.46,25691774.0,0.0,1.0,138.28075920529,139.61000420501,137.89887775996002,139.3222540562,25691774.0,AAPL
2326,65,2017-03-15,46.55,46.55,45.9,46.29,6279298.0,0.0,1.0,46.55,46.55,45.9,46.29,6279298.0,YHOO
953,200,2017-03-15,257.0,261.0,254.27,255.73,5330806.0,0.0,1.0,257.0,261.0,254.27,255.73,5330806.0,TSLA
198,198,2017-03-16,140.72,141.02,140.26,140.69,19231998.0,0.0,1.0,139.58014801928002,139.87771797668998,139.1238740846,139.55039102354,19231998.0,AAPL
2325,64,2017-03-16,46.6,46.62,46.3,46.61,3627081.0,0.0,1.0,46.6,46.62,46.3,46.61,3627081.0,YHOO
1706,199,2017-03-16,188.76,193.78,188.76,192.38,104846.0,0.0,1.0,188.12901107145,193.13223016224,188.12901107145,191.73691009708,104846.0,COKE
